estacao,nome,hora_manaus,nivel_cm,nivel_m,nivel_min_cm,nivel_max_cm,medicoes,ultima_medicao_manaus
14110000,Cucuí,2026-08-26 23:00:00,1713.0,17.130,1713.0,1713.0,4,2026-08-26 23:45:00
14280001,Taracuá,2026-08-26 23:00:00,1411.0,14.110,1411.0,1411.0,4,2026-08-26 23:45:00
14330000,Curicuriari,2026-08-26 23:00:00,1079.0,10.790,1079.0,1079.0,4,2026-08-26 23:45:00
14420000,Serrinha,2026-08-26 23:00:00,730.0,7.300,730.0,730.0,4,2026-08-26 23:45:00
14480002,Barcelos,2026-08-26 23:00:00,524.0,5.240,524.0,524.0,4,2026-08-26 23:45:00
14110000,Cucuí,2026-08-27 00:00:00,1713.0,17.130,1713.0,1713.0,4,2026-08-27 00:45:00
14280001,Taracuá,2026-08-27 00:00:00,1411.0,14.110,1411.0,1411.0,4,2026-08-27 00:45:00
14330000,Curicuriari,2026-08-27 00:00:00,1079.0,10.790,1079.0,1079.0,4,2026-08-27 00:45:00
14420000,Serrinha,2026-08-27 00:00:00,731.0,7.310,730.0,731.0,4,2026-08-27 00:45:00
14480002,Barcelos,2026-08-27 00:00:00,523.0,5.230,523.0,524.0,4,2026-08-27 00:45:00
14110000,Cucuí,2026-08-27 01:00:00,1713.0,17.130,1713.0,1714.0,4,2026-08-27 01:45:00
14280001,Taracuá,2026-08-27 01:00:00,1411.0,14.110,1411.0,1412.0,4,2026-08-27 01:45:00
14330000,Curicuriari,2026-08-27 01:00:00,1079.0,10.790,1079.0,1079.0,4,2026-08-27 01:45:00
14420000,Serrinha,2026-08-27 01:00:00,731.0,7.310,731.0,731.0,4,2026-08-27 01:45:00
14480002,Barcelos,2026-08-27 01:00:00,523.0,5.230,523.0,523.0,4,2026-08-27 01:45:00
14110000,Cucuí,2026-08-27 02:00:00,1714.0,17.140,1714.0,1714.0,4,2026-08-27 02:45:00
14280001,Taracuá,2026-08-27 02:00:00,1411.0,14.110,1411.0,1411.0,4,2026-08-27 02:45:00
14330000,Curicuriari,2026-08-27 02:00:00,1079.0,10.790,1079.0,1079.0,4,2026-08-27 02:45:00
14420000,Serrinha,2026-08-27 02:00:00,731.0,7.310,731.0,731.0,4,2026-08-27 02:45:00
14480002,Barcelos,2026-08-27 02:00:00,523.0,5.230,523.0,526.0,4,2026-08-27 02:45:00
14110000,Cucuí,2026-08-27 03:00:00,1714.0,17.140,1714.0,1714.0,4,2026-08-27 03:45:00
14280001,Taracuá,2026-08-27 03:00:00,1411.0,14.110,1411.0,1411.0,4,2026-08-27 03:45:00
14330000,Curicuriari,2026-08-27 03:00:00,1080.0,10.800,1079.0,1080.0,4,2026-08-27 03:45:00
14420000,Serrinha,2026-08-27 03:00:00,731.0,7.310,731.0,732.0,4,2026-08-27 03:45:00
14480002,Barcelos,2026-08-27 03:00:00,523.5,5.235,523.0,524.0,4,2026-08-27 03:45:00
14110000,Cucuí,2026-08-27 04:00:00,1714.0,17.140,1714.0,1714.0,4,2026-08-27 04:45:00
14280001,Taracuá,2026-08-27 04:00:00,1411.0,14.110,1411.0,1411.0,4,2026-08-27 04:45:00
14330000,Curicuriari,2026-08-27 04:00:00,1080.0,10.800,1080.0,1080.0,4,2026-08-27 04:45:00
14420000,Serrinha,2026-08-27 04:00:00,732.0,7.320,732.0,732.0,4,2026-08-27 04:45:00
14480002,Barcelos,2026-08-27 04:00:00,523.0,5.230,523.0,523.0,4,2026-08-27 04:45:00
14110000,Cucuí,2026-08-27 05:00:00,1714.0,17.140,1714.0,1714.0,4,2026-08-27 05:45:00
14280001,Taracuá,2026-08-27 05:00:00,1411.0,14.110,1411.0,1411.0,4,2026-08-27 05:45:00
14330000,Curicuriari,2026-08-27 05:00:00,1080.0,10.800,1080.0,1080.0,4,2026-08-27 05:45:00
14420000,Serrinha,2026-08-27 05:00:00,732.0,7.320,732.0,732.0,4,2026-08-27 05:45:00
14480002,Barcelos,2026-08-27 05:00:00,523.0,5.230,523.0,523.0,4,2026-08-27 05:45:00
14110000,Cucuí,2026-08-27 06:00:00,1715.0,17.150,1714.0,1715.0,4,2026-08-27 06:45:00
14280001,Taracuá,2026-08-27 06:00:00,1411.0,14.110,1410.0,1411.0,4,2026-08-27 06:45:00
14330000,Curicuriari,2026-08-27 06:00:00,1080.0,10.800,1080.0,1080.0,4,2026-08-27 06:45:00
14420000,Serrinha,2026-08-27 06:00:00,732.0,7.320,732.0,732.0,4,2026-08-27 06:45:00
14480002,Barcelos,2026-08-27 06:00:00,522.0,5.220,522.0,523.0,4,2026-08-27 06:45:00
14110000,Cucuí,2026-08-27 07:00:00,1715.0,17.150,1714.0,1715.0,4,2026-08-27 07:45:00
14280001,Taracuá,2026-08-27 07:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 07:45:00
14330000,Curicuriari,2026-08-27 07:00:00,1080.0,10.800,1080.0,1081.0,4,2026-08-27 07:45:00
14420000,Serrinha,2026-08-27 07:00:00,733.0,7.330,732.0,733.0,4,2026-08-27 07:45:00
14480002,Barcelos,2026-08-27 07:00:00,522.0,5.220,521.0,522.0,4,2026-08-27 07:45:00
14110000,Cucuí,2026-08-27 08:00:00,1715.0,17.150,1715.0,1715.0,2,2026-08-27 08:15:00
14280001,Taracuá,2026-08-27 08:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 08:45:00
14330000,Curicuriari,2026-08-27 08:00:00,1081.0,10.810,1081.0,1081.0,4,2026-08-27 08:45:00
14420000,Serrinha,2026-08-27 08:00:00,733.0,7.330,733.0,733.0,4,2026-08-27 08:45:00
14480002,Barcelos,2026-08-27 08:00:00,521.0,5.210,521.0,521.0,4,2026-08-27 08:45:00
14110000,Cucuí,2026-08-27 09:00:00,1715.0,17.150,1715.0,1715.0,2,2026-08-27 09:45:00
14280001,Taracuá,2026-08-27 09:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 09:45:00
14330000,Curicuriari,2026-08-27 09:00:00,1081.0,10.810,1080.0,1081.0,4,2026-08-27 09:45:00
14420000,Serrinha,2026-08-27 09:00:00,733.5,7.335,733.0,734.0,4,2026-08-27 09:45:00
14480002,Barcelos,2026-08-27 09:00:00,521.0,5.210,521.0,521.0,4,2026-08-27 09:45:00
14110000,Cucuí,2026-08-27 10:00:00,1715.5,17.155,1715.0,1716.0,2,2026-08-27 10:45:00
14280001,Taracuá,2026-08-27 10:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 10:45:00
14330000,Curicuriari,2026-08-27 10:00:00,1081.0,10.810,1081.0,1081.0,4,2026-08-27 10:45:00
14420000,Serrinha,2026-08-27 10:00:00,734.0,7.340,733.0,734.0,4,2026-08-27 10:45:00
14480002,Barcelos,2026-08-27 10:00:00,520.0,5.200,520.0,521.0,4,2026-08-27 10:45:00
14110000,Cucuí,2026-08-27 11:00:00,1716.0,17.160,1716.0,1716.0,4,2026-08-27 11:45:00
14280001,Taracuá,2026-08-27 11:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 11:45:00
14330000,Curicuriari,2026-08-27 11:00:00,1081.0,10.810,1081.0,1081.0,4,2026-08-27 11:45:00
14420000,Serrinha,2026-08-27 11:00:00,734.0,7.340,734.0,734.0,4,2026-08-27 11:45:00
14480002,Barcelos,2026-08-27 11:00:00,520.0,5.200,520.0,520.0,4,2026-08-27 11:45:00
14110000,Cucuí,2026-08-27 12:00:00,1716.0,17.160,1716.0,1716.0,4,2026-08-27 12:45:00
14280001,Taracuá,2026-08-27 12:00:00,1410.0,14.100,1410.0,1411.0,4,2026-08-27 12:45:00
14330000,Curicuriari,2026-08-27 12:00:00,1081.0,10.810,1081.0,1081.0,4,2026-08-27 12:45:00
14420000,Serrinha,2026-08-27 12:00:00,734.0,7.340,734.0,734.0,4,2026-08-27 12:45:00
14480002,Barcelos,2026-08-27 12:00:00,520.0,5.200,519.0,520.0,4,2026-08-27 12:45:00
14110000,Cucuí,2026-08-27 13:00:00,1716.0,17.160,1716.0,1716.0,4,2026-08-27 13:45:00
14280001,Taracuá,2026-08-27 13:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 13:45:00
14330000,Curicuriari,2026-08-27 13:00:00,1081.0,10.810,1081.0,1081.0,4,2026-08-27 13:45:00
14420000,Serrinha,2026-08-27 13:00:00,734.0,7.340,734.0,734.0,4,2026-08-27 13:45:00
14480002,Barcelos,2026-08-27 13:00:00,519.0,5.190,519.0,519.0,4,2026-08-27 13:45:00
14110000,Cucuí,2026-08-27 14:00:00,1716.0,17.160,1716.0,1716.0,4,2026-08-27 14:45:00
14280001,Taracuá,2026-08-27 14:00:00,1410.0,14.100,1410.0,1410.0,4,2026-08-27 14:45:00
14330000,Curicuriari,2026-08-27 14:00:00,1081.0,10.810,1081.0,1081.0,4,2026-08-27 14:45:00
14420000,Serrinha,2026-08-27 14:00:00,734.0,7.340,734.0,734.0,4,2026-08-27 14:45:00
14480002,Barcelos,2026-08-27 14:00:00,519.0,5.190,519.0,519.0,4,2026-08-27 14:45:00
14110000,Cucuí,2026-08-27 15:00:00,1717.0,17.170,1717.0,1718.0,4,2026-08-27 15:45:00
14280001,Taracuá,2026-08-27 15:00:00,1409.0,14.090,1409.0,1409.0,4,2026-08-27 15:45:00
14330000,Curicuriari,2026-08-27 15:00:00,1081.0,10.810,1081.0,1082.0,4,2026-08-27 15:45:00
14420000,Serrinha,2026-08-27 15:00:00,734.5,7.345,734.0,735.0,4,2026-08-27 15:45:00
14480002,Barcelos,2026-08-27 15:00:00,519.0,5.190,518.0,519.0,4,2026-08-27 15:45:00
14110000,Cucuí,2026-08-27 16:00:00,1717.0,17.170,1717.0,1717.0,4,2026-08-27 16:45:00
14280001,Taracuá,2026-08-27 16:00:00,1409.0,14.090,1409.0,1409.0,4,2026-08-27 16:45:00
14330000,Curicuriari,2026-08-27 16:00:00,1083.0,10.830,1082.0,1084.0,4,2026-08-27 16:45:00
14420000,Serrinha,2026-08-27 16:00:00,735.0,7.350,735.0,735.0,4,2026-08-27 16:45:00
14480002,Barcelos,2026-08-27 16:00:00,518.0,5.180,518.0,518.0,4,2026-08-27 16:45:00
14110000,Cucuí,2026-08-27 17:00:00,1718.0,17.180,1717.0,1718.0,4,2026-08-27 17:45:00
14280001,Taracuá,2026-08-27 17:00:00,1409.0,14.090,1409.0,1409.0,4,2026-08-27 17:45:00
14330000,Curicuriari,2026-08-27 17:00:00,1083.0,10.830,1083.0,1083.0,4,2026-08-27 17:45:00
14420000,Serrinha,2026-08-27 17:00:00,735.0,7.350,735.0,735.0,4,2026-08-27 17:45:00
14480002,Barcelos,2026-08-27 17:00:00,518.0,5.180,518.0,518.0,4,2026-08-27 17:45:00
14110000,Cucuí,2026-08-27 18:00:00,1718.0,17.180,1718.0,1718.0,4,2026-08-27 18:45:00
14280001,Taracuá,2026-08-27 18:00:00,1408.5,14.085,1408.0,1409.0,4,2026-08-27 18:45:00
14330000,Curicuriari,2026-08-27 18:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-27 18:45:00
14420000,Serrinha,2026-08-27 18:00:00,735.5,7.355,735.0,736.0,4,2026-08-27 18:45:00
14480002,Barcelos,2026-08-27 18:00:00,517.0,5.170,517.0,518.0,4,2026-08-27 18:45:00
14110000,Cucuí,2026-08-27 19:00:00,1718.5,17.185,1718.0,1719.0,4,2026-08-27 19:45:00
14280001,Taracuá,2026-08-27 19:00:00,1408.0,14.080,1408.0,1408.0,4,2026-08-27 19:45:00
14330000,Curicuriari,2026-08-27 19:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-27 19:45:00
14420000,Serrinha,2026-08-27 19:00:00,736.0,7.360,736.0,736.0,4,2026-08-27 19:45:00
14480002,Barcelos,2026-08-27 19:00:00,517.0,5.170,517.0,517.0,4,2026-08-27 19:45:00
14110000,Cucuí,2026-08-27 20:00:00,1719.0,17.190,1719.0,1719.0,4,2026-08-27 20:45:00
14280001,Taracuá,2026-08-27 20:00:00,1408.0,14.080,1408.0,1409.0,4,2026-08-27 20:45:00
14330000,Curicuriari,2026-08-27 20:00:00,1084.0,10.840,1084.0,1084.0,4,2026-08-27 20:45:00
14420000,Serrinha,2026-08-27 20:00:00,736.0,7.360,736.0,736.0,4,2026-08-27 20:45:00
14480002,Barcelos,2026-08-27 20:00:00,517.0,5.170,516.0,517.0,4,2026-08-27 20:45:00
14110000,Cucuí,2026-08-27 21:00:00,1719.0,17.190,1719.0,1719.0,4,2026-08-27 21:45:00
14280001,Taracuá,2026-08-27 21:00:00,1408.0,14.080,1408.0,1408.0,4,2026-08-27 21:45:00
